fwd-ref,rev-ref,fwd-rev,core-ref,reads
28,28,76,16,1
52,44,62,26,1
52,44,78,26,1
14,12,50,12,3
52,10,10,6,1
42,52,88,30,1
40,40,88,18,3
52,26,68,22,1
22,18,26,8,1
22,8,6,4,1
40,44,70,26,1
22,20,32,10,1
40,40,90,24,2
22,20,42,10,1
20,22,26,12,1
46,50,92,30,1
29,27,64,14,1
52,12,12,8,1
52,32,58,22,1
52,32,46,26,1
21,17,78,10,1
48,48,78,28,1
16,14,6,4,2
52,40,70,30,1
39,39,90,20,1
18,16,8,4,1
48,44,82,26,1
48,36,78,20,1
22,18,18,8,2
52,26,52,12,2
44,44,92,30,1
18,22,18,8,1
52,12,6,4,1
52,14,20,8,1
42,42,96,20,2
36,36,80,18,1
42,42,92,20,6
25,25,86,13,1
14,14,14,8,2
52,42,80,24,1
20,20,40,10,2
52,18,26,14,1
52,44,78,30,1
37,37,86,18,1
37,37,94,21,1
20,10,8,4,1
22,14,8,8,1
48,40,82,26,2
27,27,74,12,1
22,12,10,4,1
16,22,32,10,1
36,36,80,16,1
52,36,66,26,1
24,16,18,8,1
25,17,74,10,1
22,13,24,10,1
22,16,10,4,1
52,36,74,24,1
52,18,26,16,1
22,24,30,10,1
46,46,100,26,2
48,28,50,14,1
16,30,6,6,1
16,10,8,4,1
12,8,4,4,1
42,46,96,24,1
44,48,82,30,1
22,22,10,6,1
22,32,14,6,1
50,48,76,28,1
12,16,4,2,1
22,22,30,10,1
16,12,10,8,1
52,14,12,10,1
52,12,18,12,1
52,15,17,8,1
20,18,18,8,1
36,52,74,26,1
22,16,14,6,1
14,14,14,6,2
52,12,10,6,2
40,40,88,20,1
12,12,50,12,1
39,39,90,17,1
46,46,100,30,1
22,22,38,14,2
52,22,16,10,1
12,12,10,4,1
22,22,28,12,1
52,32,72,18,2
39,39,96,17,1
48,26,38,20,1
46,42,96,22,1
48,26,24,24,1
52,14,14,6,1
44,44,98,26,1
18,22,16,6,2
20,18,16,8,1
13,10,8,4,1
52,14,10,4,1
31,31,88,10,1
52,24,26,20,1
52,44,70,26,2
30,30,72,20,1
46,42,92,24,1
16,22,16,8,1
45,45,98,23,1
44,46,76,26,1
44,32,50,24,1
44,44,66,22,1
30,30,76,14,1
20,10,6,4,1
52,28,50,24,1
18,52,18,6,1
44,52,82,30,2
40,44,50,26,1
48,42,76,26,1
52,20,20,8,1
35,35,82,16,1
31,31,78,16,1
48,48,94,26,2
44,44,78,30,1
52,16,16,10,1
22,22,40,10,1
26,23,94,13,1
14,14,58,10,1
44,52,74,30,1
48,48,78,30,1
10,52,14,4,1
22,18,34,10,1
48,48,78,26,2
42,46,92,22,1
22,28,26,12,1
52,42,72,20,1
52,32,66,22,1
33,24,34,14,1
25,21,74,10,1
22,18,20,8,1
26,22,60,12,1
48,40,58,24,1
44,52,82,28,1
48,52,74,30,1
40,52,78,28,1
52,44,74,26,1
48,36,82,20,1
48,40,46,26,1
20,20,8,4,1
41,41,94,19,1
44,44,90,30,1
14,12,46,12,1
33,33,78,18,1
50,48,92,28,1
34,34,80,16,1
16,14,6,2,1
44,44,94,30,1
48,44,86,30,1
48,40,54,24,1
12,10,2,2,1
26,22,38,14,1
52,40,86,28,1
52,40,86,22,2
52,30,62,16,1
16,20,16,10,1
52,44,86,30,1
33,33,90,12,1
42,42,88,20,1
12,10,6,6,1
28,28,54,16,1
20,22,44,12,1
27,26,62,14,1
12,20,6,4,1
34,44,48,20,1
44,44,70,26,1
44,48,74,30,1
48,44,94,24,1
18,22,38,10,1
12,14,8,6,1
48,18,18,8,1
18,28,10,4,1
26,26,80,14,3
18,22,28,8,1
13,13,86,10,1
22,20,20,6,1
30,30,80,18,2
48,42,64,28,1
30,28,68,14,1
52,16,14,4,1
14,28,10,6,1
44,44,94,26,2
37,37,90,16,2
14,14,48,14,1
22,12,8,6,1
48,52,78,30,2
22,18,34,8,1
12,6,6,4,1
41,24,40,12,1
52,10,6,2,1
52,40,78,26,1
12,12,12,8,1
24,24,34,14,3
52,40,82,24,1
43,43,86,21,1
16,18,6,4,1
52,44,74,30,1
41,41,90,20,1
16,12,6,6,1
52,24,24,16,1
14,12,8,4,3
18,18,6,4,3
16,12,6,4,1
52,40,58,28,1
42,42,100,20,1
30,24,62,14,1
22,18,8,8,1
20,12,10,4,1
36,36,94,18,1
22,16,26,8,1
52,40,82,26,2
22,16,16,8,1
12,8,6,2,1
14,12,32,12,1
44,44,94,28,1
37,33,82,18,1
40,40,96,18,1
12,14,12,6,1
52,42,88,26,1
22,14,10,6,1
22,10,8,6,1
48,48,82,26,1
26,24,58,12,1
12,36,10,8,1
48,22,56,20,1
48,40,70,26,1
20,18,8,4,1
25,18,76,10,1
40,40,104,18,1
36,48,62,24,1
12,12,8,4,2
44,48,86,30,1
44,48,82,26,1
22,21,38,12,1
16,10,4,4,1
52,13,10,6,1
44,48,74,26,1
48,46,80,26,1
50,52,92,30,1
48,42,84,26,1
42,46,84,24,1
16,16,16,8,1
14,14,24,14,1
44,28,60,24,1
52,14,28,12,1
30,30,86,12,1
22,22,12,8,1
46,48,96,26,1
44,48,78,30,1
14,14,18,8,1
38,38,96,16,1
12,12,16,6,1
52,22,14,8,1
52,14,16,10,1
52,50,80,30,1
25,22,84,12,1
48,46,84,28,1
36,32,82,22,1
22,10,10,6,1
14,12,8,2,1
18,16,26,14,1
12,18,8,6,1
38,44,76,22,1
52,40,82,28,1
52,40,48,20,1
20,18,16,6,1
34,40,50,24,1
39,39,86,20,1
40,52,78,26,1
52,46,80,28,1
36,36,98,22,1
44,32,32,16,1
35,35,82,17,1
48,28,62,26,1
36,36,96,20,1
38,46,84,22,1
26,26,80,16,1
29,29,74,14,1
22,16,24,10,1
22,20,40,12,1
46,44,72,24,1
41,41,86,19,1
29,22,32,12,1
29,21,94,12,1
18,22,28,10,1
30,30,72,16,1
25,24,30,10,1
45,45,90,23,1
