fwd-ref,rev-ref,fwd-rev,core-ref,reads
10,12,2,2,1
46,42,92,20,1
14,12,42,12,1
36,36,90,10,1
52,36,48,18,1
48,44,94,20,1
12,8,4,4,1
48,46,72,22,1
12,12,34,6,1
14,10,14,4,1
31,31,78,12,1
22,10,12,6,1
10,34,8,4,1
52,44,62,22,1
32,32,68,18,1
35,35,92,12,1
18,22,6,0,1
39,35,82,12,1
52,18,44,12,1
44,36,82,22,1
52,16,28,12,1
40,40,98,12,1
25,21,74,10,1
52,34,76,24,1
46,44,76,16,1
41,41,82,16,1
45,45,86,18,1
22,20,18,6,1
52,44,66,22,1
48,44,70,20,1
52,12,18,6,1
18,18,14,4,1
26,26,96,10,2
52,32,78,20,1
18,24,10,4,1
14,22,14,4,1
18,18,14,6,1
12,16,10,4,1
52,16,16,8,1
14,12,50,12,1
48,24,58,20,1
20,24,30,6,1
40,52,78,22,1
18,30,14,6,1
52,48,78,24,1
10,30,8,2,1
52,26,54,20,1
48,40,74,24,1
46,46,92,24,2
20,18,16,6,1
50,44,72,24,1
44,12,8,2,1
52,40,70,22,2
44,36,50,16,1
52,42,88,20,1
48,48,56,20,1
52,42,56,22,1
48,44,82,24,1
48,52,78,22,1
50,36,80,20,1
22,14,10,4,1
22,16,20,4,1
20,24,28,8,1
24,24,48,10,1
22,24,32,8,1
12,40,12,4,1
14,34,8,2,1
52,8,8,4,1
36,28,78,16,1
36,36,92,12,1
52,40,82,20,1
52,16,10,4,1
46,42,96,16,1
29,29,78,10,1
46,46,96,20,1
16,22,16,6,1
48,36,70,18,1
21,21,78,8,1
41,16,22,10,1
52,36,62,20,1
20,24,32,6,1
28,28,86,12,1
32,32,80,10,1
10,8,2,2,1
52,44,54,24,1
52,14,14,10,1
48,48,78,22,1
52,36,66,22,1
39,39,90,16,1
45,37,86,18,1
12,12,42,10,1
52,48,74,22,1
52,52,70,24,1
41,41,82,13,1
52,38,64,22,1
52,12,8,4,1
44,52,90,20,1
37,37,90,12,1
46,23,52,14,1
